/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k0.5_osc50_vh32] Epoch 0164 | Train 0.000058 | Val 0.000087 | TF 0.4108 | best 0.000074@163
[lr0.0003_k0.5_osc50_vh32] Epoch 0165 | Train 0.000056 | Val 0.000085 | TF 0.4072 | best 0.000074@163
[lr0.0003_k0.5_osc50_vh32] Epoch 0166 | Train 0.000056 | Val 0.000075 | TF 0.4036 | best 0.000074@163
[lr0.0003_k0.5_osc50_vh32] Epoch 0167 | Train 0.000055 | Val 0.000070 | TF 0.4000 | best 0.000070@167
[lr0.0003_k0.5_osc50_vh32] Epoch 0168 | Train 0.000055 | Val 0.000068 | TF 0.3964 | best 0.000068@168
[lr0.0003_k0.5_osc50_vh32] Epoch 0169 | Train 0.000056 | Val 0.000081 | TF 0.3928 | best 0.000068@168
[lr0.0003_k0.5_osc50_vh32] Epoch 0170 | Train 0.000054 | Val 0.000069 | TF 0.3892 | best 0.000068@168
[lr0.0003_k0.5_osc50_vh32] Epoch 0171 | Train 0.000052 | Val 0.000071 | TF 0.3855 | best 0.000068@168
[lr0.0003_k0.5_osc50_vh32] Epoch 0172 | Train 0.000052 | Val 0.000068 | TF 0.3819 | best 0.000068@172
[lr0.0003_k0.5_osc50_vh32] Epoch 0173 | Train 0.000053 | Val 0.000065 | TF 0.3783 | best 0.000065@173
[lr0.0003_k0.5_osc50_vh32] Epoch 0174 | Train 0.000051 | Val 0.000071 | TF 0.3747 | best 0.000065@173
[lr0.0003_k0.5_osc50_vh32] Epoch 0175 | Train 0.000052 | Val 0.000073 | TF 0.3711 | best 0.000065@173
[lr0.0003_k0.5_osc50_vh32] Epoch 0176 | Train 0.000052 | Val 0.000069 | TF 0.3675 | best 0.000065@173
[lr0.0003_k0.5_osc50_vh32] Epoch 0177 | Train 0.000052 | Val 0.000066 | TF 0.3639 | best 0.000065@173
[lr0.0003_k0.5_osc50_vh32] Epoch 0178 | Train 0.000049 | Val 0.000063 | TF 0.3602 | best 0.000063@178
[lr0.0003_k0.5_osc50_vh32] Epoch 0179 | Train 0.000049 | Val 0.000060 | TF 0.3566 | best 0.000060@179
[lr0.0003_k0.5_osc50_vh32] Epoch 0180 | Train 0.000048 | Val 0.000060 | TF 0.3530 | best 0.000060@179
